FIELD_NAME,RA_DEG,DEC_DEG
RACS_0249-31A,42.3529375,-31.3874361111111
RACS_0256+12A,44.210525,12.5810805555556
RACS_0256-12A,44.210525,-12.5856855555556
RACS_0259-76A,44.8386458333333,-76.6262583333333
RACS_0259-85A,44.9578833333333,-85.5465055555556
RACS_0303+18A,45.8181791666667,18.8580194444444
RACS_0303+37A,45.9574458333333,37.6317138888889
RACS_0303-18A,45.8181791666667,-18.8626194444444
RACS_0303-37A,45.9574458333333,-37.6363
RACS_0304-50A,46.1538458333333,-50.0959083333333
RACS_0306+00A,46.5517208333333,0.0
RACS_0306+06A,46.5517208333333,6.29503611111111
RACS_0306-06A,46.5517208333333,-6.29964722222222
RACS_0310+25A,47.5471666666667,25.1251944444444
RACS_0310-25A,47.5471666666667,-25.1297888888889
